total cputime:  501.33s

CPU time taken to compile certain object files
----------------------------------------------
 67.86s | build/ProcessLib/CMakeFiles/ProcessLib.dir/GroundwaterFlowProcess.cpp.o
 23.04s | build/Tests/CMakeFiles/testrunner.dir/NumLib/TestFe.cpp.o
  9.33s | build/MathLib/CMakeFiles/MathLib.dir/LinAlg/Eigen/EigenLinearSolver.cpp.o
  6.61s | build/Tests/CMakeFiles/testrunner.dir/NumLib/TestCoordinatesMapping.cpp.o
  6.37s | build/Applications/CLI/CMakeFiles/ogs.dir/ogs.cpp.o
  5.77s | build/Applications/ApplicationsLib/CMakeFiles/ApplicationsLib.dir/ProjectData.cpp.o
  5.08s | build/Tests/CMakeFiles/testrunner.dir/AssemblerLib/LocalToGlobalIndexMapMultiComponent.cpp.o
  4.92s | build/Tests/CMakeFiles/testrunner.dir/AssemblerLib/TestSerialLinearSolver.cpp.o
  4.87s | build/Tests/CMakeFiles/testrunner.dir/ApplicationsLib/TestProjectData.cpp.o
  4.46s | build/ProcessLib/CMakeFiles/ProcessLib.dir/ProcessVariable.cpp.o
  4.33s | build/AssemblerLib/CMakeFiles/AssemblerLib.dir/MeshComponentMap.cpp.o
  4.27s | build/FileIO/CMakeFiles/FileIO.dir/XmlIO/Boost/BoostXmlGmlInterface.cpp.o
  4.20s | build/Tests/CMakeFiles/testrunner.dir/AssemblerLib/TestVectorMatrixBuilder.cpp.o
  4.12s | build/Tests/CMakeFiles/testrunner.dir/MeshLib/MeshProperties.cpp.o
  4.00s | build/Tests/CMakeFiles/testrunner.dir/BaseLib/TestQuicksort.cpp.o
  3.99s | build/Tests/CMakeFiles/testrunner.dir/AssemblerLib/TestMeshComponentMap.cpp.o
  3.94s | build/Tests/CMakeFiles/testrunner.dir/AssemblerLib/LocalToGlobalIndexMap.cpp.o
  3.78s | build/AssemblerLib/CMakeFiles/AssemblerLib.dir/LocalToGlobalIndexMap.cpp.o
  3.63s | build/Tests/CMakeFiles/testrunner.dir/MathLib/TestLinearSolver.cpp.o
  3.58s | build/Tests/CMakeFiles/testrunner.dir/MathLib/TestLocalMatrixFunctions.cpp.o
  3.54s | build/AssemblerLib/CMakeFiles/AssemblerLib.dir/ComputeSparsityPattern.cpp.o
  3.45s | build/BaseLib/CMakeFiles/BaseLib.dir/ConfigTree.cpp.o
  3.31s | build/Tests/CMakeFiles/testrunner.dir/InSituLib/TestVtkMappedPropertyVector.cpp.o
  3.22s | build/MeshLib/CMakeFiles/MeshLib.dir/MeshGenerators/VtkMeshConverter.cpp.o
  3.10s | build/Tests/CMakeFiles/testrunner.dir/MathLib/TestGlobalVectorInterface.cpp.o
  3.10s | build/SimpleTests/MeshTests/CMakeFiles/MeshSearchTest.dir/MeshSearchTest.cpp.o
  3.06s | build/Tests/CMakeFiles/testrunner.dir/InSituLib/TestVtkMappedMeshSource.cpp.o
  3.04s | build/Tests/CMakeFiles/testrunner.dir/GeoLib/TestSurfaceIsPointInSurface.cpp.o
  3.02s | build/Tests/CMakeFiles/testrunner.dir/BaseLib/TestFilePathStringManipulation.cpp.o
  2.97s | build/Tests/CMakeFiles/testrunner.dir/MathLib/TestGlobalMatrixInterface.cpp.o
  2.87s | build/MeshGeoToolsLib/CMakeFiles/MeshGeoToolsLib.dir/GeoMapper.cpp.o
  2.86s | build/SimpleTests/MatrixTests/CMakeFiles/DenseGaussEliminationChecker.dir/DenseGaussEliminationChecker.cpp.o
